"taxonomy","importance","item","Jan 2014 to Feb 2014 (month-to-month)","Feb 2013 to Feb 2014 (year-over-year)","2012 (annual)","2013 (annual)","2014 (forecast Â±0.5)"
"Food away from home",39.9175517049,"Food away from home",0.3,2.2,2.8,2.1354152441,3
"Food at home:Meats, poultry, and fish:Meats:Beef and Veal",3.9407490218,"Beef and Veal",4,5.4,6.4,1.9909650175,3.5
"Food at home:Meats, poultry, and fish:Meats:Pork",2.515371716,"Pork",0.3,4,0.3,0.9414164767,2.5
"Food at home:Meats, poultry, and fish:Meats:Other meats",1.8515930688,"Other meats",-0.8,-0.6,1.7,-0.0763533754,2.5
"Food at home:Meats, poultry, and fish:Poultry",2.4385131358,"Poultry",-0.5,2.5,5.5,4.6810790016,3.5
"Food at home:Meats, poultry, and fish:Fish and seafood",2.1171045277,"Fish and seafood",-0.2,7.2,2.4,2.4764807303,3
"Food at home:Eggs",0.7895472331,"Eggs",0.7,5.7,3.2,3.2594337487,3.5
"Food at home:Dairy products",6.3,"Dairy products",0.7,0.6,2.1,0.130828002,3
"Food at home:Fats and oils",1.8376187814,"Fats and oils",0,-1.6,6.1,-1.4028208336,2
"Food at home:Fruits and vegetables:Fresh fruits and vegetables:Fresh fruits",3.6752375629,"Fresh fruits",0.8,1.6,1,1.9570655802,3
"Food at home:Fruits and vegetables:Fresh fruits and vegetables:Fresh vegetables",3.2210732253,"Fresh vegetables",-0.8,-3,-5.1,4.6972919514,2.5
"Food at home:Fruits and vegetables:Processed fruits and vegetables",2.089155953,"Processed fruits and vegetables",0.4,0.3,3.8,0.3078476144,3
"Food at home:Sugar and sweets",2.131078815,"Sugar and sweets",-0.1,-1.1,3.3,-1.7132089798,2.5
"Food at home:Cereals and bakery products",8.6011738401,"Cereals and bakery products",-0.2,0.5,2.8,1.015569766,2
"Food at home:Nonalcoholic beverages",6.5888764673,"Nonalcoholic beverages",-0.6,-1.8,1.1,-1.0020877033,3
"Food at home:Other foods",11.9550027949,"Other foods",0.7,0.9,3.5,0.5,2.5
